,movie1,movie2,movie3,movie4,animated1,animated2,animated3,animated4
user 1,4,5,3,,2,1,,2
user 2,5,3,3,2,2,1,3,
user 3,1,,,4,5,4,2,4
user 4,,2,1,4,,3,2,3
user 5,1,,2,3,3,4,2,3
user 6,2,1,3,4,1,,2,4
user 7,1,2,2,1,3,4,5,
user 8,2,4,3,,2,1,2,4
user 9,1,2,3,2,3,4,5,1
user 10,1,,5,4,4,3,2,1
user 11,2,5,3,1,2,3,,2
user 12,5,,3,2,,1,3,
user 13,4,,,3,5,4,2,4
user 14,,4,1,4,,2,2,3
user 15,1,,2,3,,4,2,3
user 16,2,,3,4,1,,5,4
user 17,1,2,,1,,4,3,
user 18,2,4,1,,2,1,3,4
user 19,1,2,4,2,,4,5,1
user 20,3,,5,2,4,3,2,3
